,word,category,institution,n,date,tf,idf,tf_idf
1,description,Partners,Sean Parker Foundation,62,1/18/2024,0.057513915,1.791759469,0.103051101
2,alliance,Partners,Sean Parker Foundation,26,1/18/2024,0.024118738,1.791759469,0.043214978
3,presidential,Partners,Sean Parker Foundation,23,1/18/2024,0.021335807,1.791759469,0.038228634
4,obama,Partners,Sean Parker Foundation,66,1/18/2024,0.06122449,0.405465108,0.024824394
5,brothers,Partners,Sean Parker Foundation,14,1/18/2024,0.012987013,1.791759469,0.023269603
6,girls,Partners,Sean Parker Foundation,14,1/18/2024,0.012987013,1.791759469,0.023269603
7,keeper,Partners,Sean Parker Foundation,14,1/18/2024,0.012987013,1.791759469,0.023269603
8,approach,Grantmaking,Sean Parker Foundation,7,1/18/2024,0.015217391,1.098612289,0.016718013
9,solution,Grantmaking,Sean Parker Foundation,7,1/18/2024,0.015217391,1.098612289,0.016718013
10,barack,Partners,Sean Parker Foundation,10,1/18/2024,0.009276438,1.791759469,0.016621145
11,award,Partners,Sean Parker Foundation,16,1/18/2024,0.014842301,1.098612289,0.016305934
12,permanent,Grantmaking,Sean Parker Foundation,4,1/18/2024,0.008695652,1.791759469,0.015580517
13,award,About,Sean Parker Foundation,8,1/18/2024,0.013864818,1.098612289,0.015232059
14,allergies,Grantmaking,Sean Parker Foundation,10,1/18/2024,0.02173913,0.693147181,0.015068417
15,arsenalbio,Press,Sean Parker Foundation,2,1/18/2024,0.008403361,1.791759469,0.015056802
16,problem,Grantmaking,Sean Parker Foundation,6,1/18/2024,0.013043478,1.098612289,0.014329726
17,initvideo,Initiatives,Sean Parker Foundation,14,1/18/2024,0.00792752,1.791759469,0.014204209
18,times,Press,Sean Parker Foundation,3,1/18/2024,0.012605042,1.098612289,0.013848054
19,personal,Partners,Sean Parker Foundation,8,1/18/2024,0.00742115,1.791759469,0.013296916
20,multifaceted,Grantmaking,Sean Parker Foundation,3,1/18/2024,0.006521739,1.791759469,0.011685388
21,usable,Grantmaking,Sean Parker Foundation,3,1/18/2024,0.006521739,1.791759469,0.011685388
22,alexandra,About,Sean Parker Foundation,6,1/18/2024,0.010398614,1.098612289,0.011424045
23,service,Partners,Sean Parker Foundation,10,1/18/2024,0.009276438,1.098612289,0.010191209
24,chicago,Partners,Sean Parker Foundation,6,1/18/2024,0.005565863,1.791759469,0.009972687
25,michelle,Partners,Sean Parker Foundation,6,1/18/2024,0.005565863,1.791759469,0.009972687
26,scholarship,Partners,Sean Parker Foundation,6,1/18/2024,0.005565863,1.791759469,0.009972687
27,youth,Partners,Sean Parker Foundation,6,1/18/2024,0.005565863,1.791759469,0.009972687
28,allergic,Grantmaking,Sean Parker Foundation,4,1/18/2024,0.008695652,1.098612289,0.00955315
