"","category","institution","word1","word2","n","date"
"1","Grants","Bloomberg Philantrhopies","public","health",73,2024-01-16
"2","Programs","Bloomberg Philantrhopies","objects","require",70,2024-01-16
"3","Programs","Bloomberg Philantrhopies","public","health",70,2024-01-16
"4","Programs","Bloomberg Philantrhopies","annual","report",69,2024-01-16
"5","Grants","Bloomberg Philantrhopies","annual","report",67,2024-01-16
"6","Grants","Bloomberg Philantrhopies","objects","require",56,2024-01-16
"7","Programs","Bloomberg Philantrhopies","johns","hopkins",46,2024-01-16
"8","Approach","Bloomberg Philantrhopies","objects","require",42,2024-01-16
"9","Grants","Bloomberg Philantrhopies","const","gtmevent",42,2024-01-16
"10","Grants","Bloomberg Philantrhopies","const","linkurl",42,2024-01-16
"11","Grants","Bloomberg Philantrhopies","const","tiletext",42,2024-01-16
"12","Grants","Bloomberg Philantrhopies","tiletext","linkurl",42,2024-01-16
"13","Programs","Bloomberg Philantrhopies","podcasts","videos",40,2024-01-16
"14","Programs","Bloomberg Philantrhopies","videolist","flexbasis",40,2024-01-16
"15","Regions","Bloomberg Philantrhopies","public","health",40,2024-01-16
"16","Grants","Bloomberg Philantrhopies","podcasts","videos",32,2024-01-16
"17","Grants","Bloomberg Philantrhopies","videolist","flexbasis",32,2024-01-16
"18","Programs","Bloomberg Philantrhopies","privacy","policy",32,2024-01-16
"19","Regions","Bloomberg Philantrhopies","annual","report",32,2024-01-16
"20","Approach","Bloomberg Philantrhopies","annual","report",30,2024-01-16
"21","Approach","Bloomberg Philantrhopies","public","health",30,2024-01-16
"22","Programs","Bloomberg Philantrhopies","extends","fstatic",30,2024-01-16
"23","About","Bloomberg Philantrhopies","objects","require",28,2024-01-16
"24","Regions","Bloomberg Philantrhopies","objects","require",28,2024-01-16
"25","About","Bloomberg Philantrhopies","public","health",26,2024-01-16
"26","Approach","Bloomberg Philantrhopies","engage","strong",24,2024-01-16
"27","Approach","Bloomberg Philantrhopies","podcasts","videos",24,2024-01-16
"28","Approach","Bloomberg Philantrhopies","videolist","flexbasis",24,2024-01-16
"29","Grants","Bloomberg Philantrhopies","extends","fstatic",24,2024-01-16
"30","About","Bloomberg Philantrhopies","annual","report",22,2024-01-16
"31","Grants","Bloomberg Philantrhopies","clean","energy",22,2024-01-16
"32","Grants","Bloomberg Philantrhopies","johns","hopkins",21,2024-01-16
"33","Grants","Bloomberg Philantrhopies","areyebrow","fontsize",20,2024-01-16
"34","Grants","Bloomberg Philantrhopies","global","reach",20,2024-01-16
"35","Programs","Bloomberg Philantrhopies","annual","reports",20,2024-01-16
"36","Programs","Bloomberg Philantrhopies","approach","overview",20,2024-01-16
"37","Programs","Bloomberg Philantrhopies","engage","strong",20,2024-01-16
"38","Programs","Bloomberg Philantrhopies","error","occured",20,2024-01-16
