"","word","category","institution","n","date"
"1","bloomberg","Programs","Bloomberg Philantrhopies",286,2024-01-20
"2","bloomberg","Grants","Bloomberg Philantrhopies",225,2024-01-20
"3","marginbottom","Programs","Bloomberg Philantrhopies",210,2024-01-20
"4","lineheight","Grants","Bloomberg Philantrhopies",190,2024-01-20
"5","marginbottom","Grants","Bloomberg Philantrhopies",188,2024-01-20
"6","lineheight","Programs","Bloomberg Philantrhopies",176,2024-01-20
"7","gtmevent","Grants","Bloomberg Philantrhopies",168,2024-01-20
"8","agent","Programs","Bloomberg Philantrhopies",140,2024-01-20
"9","cities","Grants","Bloomberg Philantrhopies",135,2024-01-20
"10","health","Grants","Bloomberg Philantrhopies",132,2024-01-20
"11","health","Programs","Bloomberg Philantrhopies",129,2024-01-20
"12","datalayer","Grants","Bloomberg Philantrhopies",126,2024-01-20
"13","marginbottom","Approach","Bloomberg Philantrhopies",120,2024-01-20
"14","norepeat","Grants","Bloomberg Philantrhopies",120,2024-01-20
"15","public","Grants","Bloomberg Philantrhopies",118,2024-01-20
"16","public","Programs","Bloomberg Philantrhopies",117,2024-01-20
"17","letterspacing","Programs","Bloomberg Philantrhopies",116,2024-01-20
"18","bloomberg","Approach","Bloomberg Philantrhopies",114,2024-01-20
"19","agent","Grants","Bloomberg Philantrhopies",112,2024-01-20
"20","annual","Programs","Bloomberg Philantrhopies",111,2024-01-20
"21","spotlight","Programs","Bloomberg Philantrhopies",108,2024-01-20
"22","annual","Grants","Bloomberg Philantrhopies",107,2024-01-20
"23","spotlight","Grants","Bloomberg Philantrhopies",105,2024-01-20
"24","lineheight","Approach","Bloomberg Philantrhopies",102,2024-01-20
"25","borderbottom","Programs","Bloomberg Philantrhopies",100,2024-01-20
"26","letterspacing","Grants","Bloomberg Philantrhopies",98,2024-01-20
"27","bloomberg","Regions","Bloomberg Philantrhopies",96,2024-01-20
"28","education","Programs","Bloomberg Philantrhopies",95,2024-01-20
"29","cities","Programs","Bloomberg Philantrhopies",93,2024-01-20
"30","minwidth","Grants","Bloomberg Philantrhopies",90,2024-01-20
"31","marginbottom","About","Bloomberg Philantrhopies",88,2024-01-20
"32","education","Grants","Bloomberg Philantrhopies",85,2024-01-20
"33","world","Programs","Bloomberg Philantrhopies",85,2024-01-20
"34","agent","Approach","Bloomberg Philantrhopies",84,2024-01-20
"35","carouselvar","Grants","Bloomberg Philantrhopies",84,2024-01-20
"36","eventbutton","Grants","Bloomberg Philantrhopies",84,2024-01-20
"37","linkurl","Grants","Bloomberg Philantrhopies",84,2024-01-20
"38","norepeat","Programs","Bloomberg Philantrhopies",84,2024-01-20
"39","report","Grants","Bloomberg Philantrhopies",84,2024-01-20
"40","sectionname","Grants","Bloomberg Philantrhopies",84,2024-01-20
"41","slidewrapper","Grants","Bloomberg Philantrhopies",84,2024-01-20
"42","targetrect","Grants","Bloomberg Philantrhopies",84,2024-01-20
"43","tiletext","Grants","Bloomberg Philantrhopies",84,2024-01-20
"44","report","Programs","Bloomberg Philantrhopies",83,2024-01-20
"45","bloomberg","About","Bloomberg Philantrhopies",81,2024-01-20
"46","borderbottom","Grants","Bloomberg Philantrhopies",80,2024-01-20
"47","marginbottom","Regions","Bloomberg Philantrhopies",80,2024-01-20
"48","minwidth","Programs","Bloomberg Philantrhopies",79,2024-01-20
"49","global","Grants","Bloomberg Philantrhopies",78,2024-01-20
"50","health","Regions","Bloomberg Philantrhopies",76,2024-01-20
"51","lineheight","About","Bloomberg Philantrhopies",76,2024-01-20
"52","lineheight","Regions","Bloomberg Philantrhopies",76,2024-01-20
"53","supporting","Programs","Bloomberg Philantrhopies",75,2024-01-20
"54","innovation","Programs","Bloomberg Philantrhopies",72,2024-01-20
"55","innovation","Grants","Bloomberg Philantrhopies",71,2024-01-20
"56","require","Programs","Bloomberg Philantrhopies",71,2024-01-20
"57","instanceof","Programs","Bloomberg Philantrhopies",70,2024-01-20
"58","objects","Programs","Bloomberg Philantrhopies",70,2024-01-20
"59","local","Grants","Bloomberg Philantrhopies",67,2024-01-20
"60","letterspacing","Approach","Bloomberg Philantrhopies",66,2024-01-20
"61","program","Grants","Bloomberg Philantrhopies",66,2024-01-20
"62","supporting","Grants","Bloomberg Philantrhopies",66,2024-01-20
"63","paddingtop","Grants","Bloomberg Philantrhopies",64,2024-01-20
"64","explore","Grants","Bloomberg Philantrhopies",63,2024-01-20
"65","climate","Programs","Bloomberg Philantrhopies",62,2024-01-20
"66","borderbottom","Approach","Bloomberg Philantrhopies",60,2024-01-20
"67","errorall","Programs","Bloomberg Philantrhopies",60,2024-01-20
"68","extends","Programs","Bloomberg Philantrhopies",60,2024-01-20
"69","minheight","Programs","Bloomberg Philantrhopies",60,2024-01-20
