,word,category,institution,n,date,tf,idf,tf_idf
1,report,Learnings,Howard G. Buffet Foundation,18,1/18/2024,0.010368664,1.386294361,0.01437402
2,gformwrapper,About,Howard G. Buffet Foundation,144,1/18/2024,0.040654997,0.287682072,0.011695714
3,gformwrapper,Regions,Howard G. Buffet Foundation,48,1/18/2024,0.040201005,0.287682072,0.011565108
4,gformwrapper,Programs,Howard G. Buffet Foundation,48,1/18/2024,0.038616251,0.287682072,0.011109203
5,etpbimagewrap,Programs,Howard G. Buffet Foundation,19,1/18/2024,0.015285599,0.693147181,0.01059517
6,footermenu,About,Howard G. Buffet Foundation,99,1/18/2024,0.027950311,0.287682072,0.008040803
7,footermenu,Regions,Howard G. Buffet Foundation,33,1/18/2024,0.027638191,0.287682072,0.007951012
8,footermenu,Programs,Howard G. Buffet Foundation,33,1/18/2024,0.026548673,0.287682072,0.007637577
9,people,Learnings,Howard G. Buffet Foundation,9,1/18/2024,0.005184332,1.386294361,0.00718701
10,etpbcolumn,Regions,Howard G. Buffet Foundation,29,1/18/2024,0.024288107,0.287682072,0.006987253
11,etpbcolumn,About,Howard G. Buffet Foundation,81,1/18/2024,0.022868436,0.287682072,0.006578839
12,widgetblock,Regions,Howard G. Buffet Foundation,24,1/18/2024,0.020100503,0.287682072,0.005782554
13,widgetblock,Programs,Howard G. Buffet Foundation,24,1/18/2024,0.019308126,0.287682072,0.005554602
14,widgetblock,About,Howard G. Buffet Foundation,66,1/18/2024,0.01863354,0.287682072,0.005360536
15,etpbcolumn,Programs,Howard G. Buffet Foundation,23,1/18/2024,0.01850362,0.287682072,0.00532316
16,footerwidget,Regions,Howard G. Buffet Foundation,22,1/18/2024,0.018425461,0.287682072,0.005300675
17,footerwidget,Programs,Howard G. Buffet Foundation,22,1/18/2024,0.017699115,0.287682072,0.005091718
18,catalyze,About,Howard G. Buffet Foundation,23,1/18/2024,0.006493506,0.693147181,0.004500956
19,risks,About,Howard G. Buffet Foundation,11,1/18/2024,0.00310559,1.386294361,0.004305262
20,leftarea,About,Howard G. Buffet Foundation,51,1/18/2024,0.014398645,0.287682072,0.004142232
21,leftarea,Regions,Howard G. Buffet Foundation,17,1/18/2024,0.014237856,0.287682072,0.004095976
22,biodiversity,Learnings,Howard G. Buffet Foundation,5,1/18/2024,0.002880184,1.386294361,0.003992783
23,courage,Learnings,Howard G. Buffet Foundation,5,1/18/2024,0.002880184,1.386294361,0.003992783
24,farming,Learnings,Howard G. Buffet Foundation,5,1/18/2024,0.002880184,1.386294361,0.003992783
25,photographs,Learnings,Howard G. Buffet Foundation,5,1/18/2024,0.002880184,1.386294361,0.003992783
26,significant,Learnings,Howard G. Buffet Foundation,5,1/18/2024,0.002880184,1.386294361,0.003992783
27,leftarea,Programs,Howard G. Buffet Foundation,17,1/18/2024,0.013676589,0.287682072,0.003934509
28,pagecontainer,Programs,Howard G. Buffet Foundation,17,1/18/2024,0.013676589,0.287682072,0.003934509
29,etpbimagewrap,About,Howard G. Buffet Foundation,20,1/18/2024,0.005646527,0.693147181,0.003913875
30,footerwidget,About,Howard G. Buffet Foundation,48,1/18/2024,0.013551666,0.287682072,0.003898571
31,livesour,About,Howard G. Buffet Foundation,9,1/18/2024,0.002540937,1.386294361,0.003522487
32,etboc,Programs,Howard G. Buffet Foundation,6,1/18/2024,0.004827031,0.693147181,0.003345843
33,approach,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
34,cheetahs,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
35,document,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
36,eastern,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
37,natural,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
38,potential,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
39,spirit,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
40,struggle,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
41,survival,Learnings,Howard G. Buffet Foundation,4,1/18/2024,0.002304147,1.386294361,0.003194227
42,etlinkcontent,About,Howard G. Buffet Foundation,39,1/18/2024,0.011010728,0.287682072,0.003167589
43,pagecontainer,About,Howard G. Buffet Foundation,39,1/18/2024,0.011010728,0.287682072,0.003167589
