"","cat","word","n","date","institution","tf","idf","tf_idf"
"55","Learnings","animals",60,2024-01-20,"IKEA Foundation ",0.000473701662692836,0.693147180559945,0.000328344971922097
"56","Learnings","ntable",60,2024-01-20,"IKEA Foundation ",0.000473701662692836,0.693147180559945,0.000328344971922097
"57","Learnings","metric",59,2024-01-20,"IKEA Foundation ",0.000465806634981289,0.693147180559945,0.000322872555723396
"58","Learnings","nef",58,2024-01-20,"IKEA Foundation ",0.000457911607269742,0.693147180559945,0.000317400139524694
"59","Learnings","trees",58,2024-01-20,"IKEA Foundation ",0.000457911607269742,0.693147180559945,0.000317400139524694
"60","Learnings","intended",57,2024-01-20,"IKEA Foundation ",0.000450016579558194,0.693147180559945,0.000311927723325993
"61","Learnings","river",56,2024-01-20,"IKEA Foundation ",0.000442121551846647,0.693147180559945,0.000306455307127291
"62","Grants","maharashtra",17,2024-01-20,"IKEA Foundation ",0.000439901669038685,0.693147180559945,0.000304916601617779
"63","Grants","nagpur",17,2024-01-20,"IKEA Foundation ",0.000439901669038685,0.693147180559945,0.000304916601617779
"64","Grants","wsm",17,2024-01-20,"IKEA Foundation ",0.000439901669038685,0.693147180559945,0.000304916601617779
"65","Learnings","iga",55,2024-01-20,"IKEA Foundation ",0.0004342265241351,0.693147180559945,0.000300982890928589
"66","Learnings","mfi",55,2024-01-20,"IKEA Foundation ",0.0004342265241351,0.693147180559945,0.000300982890928589
"67","Learnings","sa",55,2024-01-20,"IKEA Foundation ",0.0004342265241351,0.693147180559945,0.000300982890928589
"68","Learnings","wetlands",55,2024-01-20,"IKEA Foundation ",0.0004342265241351,0.693147180559945,0.000300982890928589
"69","Learnings","vol",54,2024-01-20,"IKEA Foundation ",0.000426331496423552,0.693147180559945,0.000295510474729888
"70","Grants","circular",16,2024-01-20,"IKEA Foundation ",0.000414025100271704,0.693147180559945,0.00028698033093438
"71","Grants","convergences",16,2024-01-20,"IKEA Foundation ",0.000414025100271704,0.693147180559945,0.00028698033093438
"72","Grants","haryana",16,2024-01-20,"IKEA Foundation ",0.000414025100271704,0.693147180559945,0.00028698033093438
"73","Grants","martijn",16,2024-01-20,"IKEA Foundation ",0.000414025100271704,0.693147180559945,0.00028698033093438
"74","Grants","scalable",16,2024-01-20,"IKEA Foundation ",0.000414025100271704,0.693147180559945,0.00028698033093438
"75","Learnings","banks",52,2024-01-20,"IKEA Foundation ",0.000410541441000458,0.693147180559945,0.000284565642332485
"76","Learnings","geneva",52,2024-01-20,"IKEA Foundation ",0.000410541441000458,0.693147180559945,0.000284565642332485
"77","Learnings","planting",52,2024-01-20,"IKEA Foundation ",0.000410541441000458,0.693147180559945,0.000284565642332485
"78","Learnings","rsc",51,2024-01-20,"IKEA Foundation ",0.000402646413288911,0.693147180559945,0.000279093226133783
"79","Learnings","soils",51,2024-01-20,"IKEA Foundation ",0.000402646413288911,0.693147180559945,0.000279093226133783
"80","Learnings","addis",50,2024-01-20,"IKEA Foundation ",0.000394751385577363,0.693147180559945,0.000273620809935081
"81","Learnings","methodological",50,2024-01-20,"IKEA Foundation ",0.000394751385577363,0.693147180559945,0.000273620809935081
"82","Learnings","rivers",50,2024-01-20,"IKEA Foundation ",0.000394751385577363,0.693147180559945,0.000273620809935081
"83","Grants","fpos",15,2024-01-20,"IKEA Foundation ",0.000388148531504722,0.693147180559945,0.000269044060250981
"84","Grants","lctpi",15,2024-01-20,"IKEA Foundation ",0.000388148531504722,0.693147180559945,0.000269044060250981
"85","Grants","placements",15,2024-01-20,"IKEA Foundation ",0.000388148531504722,0.693147180559945,0.000269044060250981
"86","Grants","rescale",15,2024-01-20,"IKEA Foundation ",0.000388148531504722,0.693147180559945,0.000269044060250981
"87","Grants","telangana",15,2024-01-20,"IKEA Foundation ",0.000388148531504722,0.693147180559945,0.000269044060250981
"88","Learnings","pension",49,2024-01-20,"IKEA Foundation ",0.000386856357865816,0.693147180559945,0.00026814839373638
"89","Learnings","ri",49,2024-01-20,"IKEA Foundation ",0.000386856357865816,0.693147180559945,0.00026814839373638
"90","Learnings","animal",48,2024-01-20,"IKEA Foundation ",0.000378961330154269,0.693147180559945,0.000262675977537678
"91","Learnings","ra",48,2024-01-20,"IKEA Foundation ",0.000378961330154269,0.693147180559945,0.000262675977537678
"92","Learnings","somali",48,2024-01-20,"IKEA Foundation ",0.000378961330154269,0.693147180559945,0.000262675977537678
"93","Learnings","fis",47,2024-01-20,"IKEA Foundation ",0.000371066302442722,0.693147180559945,0.000257203561338976
"94","Learnings","smallholder",47,2024-01-20,"IKEA Foundation ",0.000371066302442722,0.693147180559945,0.000257203561338976
"95","Learnings","species",47,2024-01-20,"IKEA Foundation ",0.000371066302442722,0.693147180559945,0.000257203561338976
"96","Learnings","assets",46,2024-01-20,"IKEA Foundation ",0.000363171274731174,0.693147180559945,0.000251731145140275
"97","Grants","bsr",14,2024-01-20,"IKEA Foundation ",0.000362271962737741,0.693147180559945,0.000251107789567583
"98","Grants","commissioning",14,2024-01-20,"IKEA Foundation ",0.000362271962737741,0.693147180559945,0.000251107789567583
"99","Grants","counsellor",14,2024-01-20,"IKEA Foundation ",0.000362271962737741,0.693147180559945,0.000251107789567583
"100","Grants","ondernemen",14,2024-01-20,"IKEA Foundation ",0.000362271962737741,0.693147180559945,0.000251107789567583
"101","Learnings","thematic",45,2024-01-20,"IKEA Foundation ",0.000355276247019627,0.693147180559945,0.000246258728941573
"102","Learnings","conflict",44,2024-01-20,"IKEA Foundation ",0.00034738121930808,0.693147180559945,0.000240786312742872
"103","Learnings","pp",44,2024-01-20,"IKEA Foundation ",0.00034738121930808,0.693147180559945,0.000240786312742872
"104","Learnings","somalia",44,2024-01-20,"IKEA Foundation ",0.00034738121930808,0.693147180559945,0.000240786312742872
"105","Learnings","cahws",43,2024-01-20,"IKEA Foundation ",0.000339486191596532,0.693147180559945,0.00023531389654417
"106","Learnings","rights",43,2024-01-20,"IKEA Foundation ",0.000339486191596532,0.693147180559945,0.00023531389654417
"107","Grants","aanbesteden",13,2024-01-20,"IKEA Foundation ",0.000336395393970759,0.693147180559945,0.000233171518884184
"108","Grants","clg",13,2024-01-20,"IKEA Foundation ",0.000336395393970759,0.693147180559945,0.000233171518884184
"109","Grants","klimaatvriendelijk",13,2024-01-20,"IKEA Foundation ",0.000336395393970759,0.693147180559945,0.000233171518884184
"110","Learnings","biodiversity",42,2024-01-20,"IKEA Foundation ",0.000331591163884985,0.693147180559945,0.000229841480345468
"111","Learnings","lmb",42,2024-01-20,"IKEA Foundation ",0.000331591163884985,0.693147180559945,0.000229841480345468
"112","Learnings","maize",42,2024-01-20,"IKEA Foundation ",0.000331591163884985,0.693147180559945,0.000229841480345468
"113","Learnings","resilience",42,2024-01-20,"IKEA Foundation ",0.000331591163884985,0.693147180559945,0.000229841480345468
"114","Learnings","variables",42,2024-01-20,"IKEA Foundation ",0.000331591163884985,0.693147180559945,0.000229841480345468
"115","Learnings","graduates",41,2024-01-20,"IKEA Foundation ",0.000323696136173438,0.693147180559945,0.000224369064146767
"116","Learnings","united",41,2024-01-20,"IKEA Foundation ",0.000323696136173438,0.693147180559945,0.000224369064146767
"117","Learnings","ababa",40,2024-01-20,"IKEA Foundation ",0.000315801108461891,0.693147180559945,0.000218896647948065
"118","Learnings","humanitarian",40,2024-01-20,"IKEA Foundation ",0.000315801108461891,0.693147180559945,0.000218896647948065
"119","Learnings","inadequate",40,2024-01-20,"IKEA Foundation ",0.000315801108461891,0.693147180559945,0.000218896647948065
"120","Learnings","saccos",40,2024-01-20,"IKEA Foundation ",0.000315801108461891,0.693147180559945,0.000218896647948065
"121","Grants","bus",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"122","Grants","ent",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"123","Grants","handholding",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"124","Grants","magic",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"125","Grants","mavim",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"126","Grants","nrlm",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"127","Grants","organizational",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
"128","Grants","quest",12,2024-01-20,"IKEA Foundation ",0.000310518825203778,0.693147180559945,0.000215235248200785
