,cat,word,n,date,institution,tf,idf,tf_idf
1,Grants,pl,617,1/16/2024,IKEA Foundation ,0.015305616,1.098612289,0.016814938
2,About,ethical,34,1/16/2024,IKEA Foundation ,0.029616725,0.405465108,0.012008548
3,Learnings,cooperative,840,1/16/2024,IKEA Foundation ,0.006442755,1.098612289,0.00707809
4,Grants,companies,582,1/16/2024,IKEA Foundation ,0.014437388,0.405465108,0.005853857
5,About,confidential,6,1/16/2024,IKEA Foundation ,0.005226481,1.098612289,0.005741876
6,Grants,coalition,546,1/16/2024,IKEA Foundation ,0.013544354,0.405465108,0.005491763
7,Learnings,cooperatives,548,1/16/2024,IKEA Foundation ,0.004203131,1.098612289,0.004617611
8,Learnings,refugee,543,1/16/2024,IKEA Foundation ,0.004164781,1.098612289,0.00457548
9,About,assets,12,1/16/2024,IKEA Foundation ,0.010452962,0.405465108,0.004238311
10,Grants,ladder,148,1/16/2024,IKEA Foundation ,0.003671363,1.098612289,0.004033405
11,About,njuly,11,1/16/2024,IKEA Foundation ,0.009581882,0.405465108,0.003885119
12,About,honesty,4,1/16/2024,IKEA Foundation ,0.003484321,1.098612289,0.003827917
13,Learnings,kenya,444,1/16/2024,IKEA Foundation ,0.003405456,1.098612289,0.003741276
14,Grants,disha,136,1/16/2024,IKEA Foundation ,0.003373685,1.098612289,0.003706372
15,Learnings,county,428,1/16/2024,IKEA Foundation ,0.003282737,1.098612289,0.003606455
16,Grants,wmb,355,1/16/2024,IKEA Foundation ,0.008806311,0.405465108,0.003570652
17,Grants,skao,123,1/16/2024,IKEA Foundation ,0.003051201,1.098612289,0.003352087
18,Learnings,melkadida,395,1/16/2024,IKEA Foundation ,0.003029629,1.098612289,0.003328388
19,Grants,emissions,286,1/16/2024,IKEA Foundation ,0.007094662,0.405465108,0.002876638
20,About,harassment,3,1/16/2024,IKEA Foundation ,0.00261324,1.098612289,0.002870938
21,About,nco,3,1/16/2024,IKEA Foundation ,0.00261324,1.098612289,0.002870938
22,About,nrespect,3,1/16/2024,IKEA Foundation ,0.00261324,1.098612289,0.002870938
23,About,nyour,3,1/16/2024,IKEA Foundation ,0.00261324,1.098612289,0.002870938
24,Learnings,dollo,324,1/16/2024,IKEA Foundation ,0.002485063,1.098612289,0.002730121
25,Grants,evaluation,270,1/16/2024,IKEA Foundation ,0.006697757,0.405465108,0.002715707
26,Learnings,tea,318,1/16/2024,IKEA Foundation ,0.002439043,1.098612289,0.002679563
27,Learnings,ado,316,1/16/2024,IKEA Foundation ,0.002423703,1.098612289,0.00266271
28,Learnings,refugees,316,1/16/2024,IKEA Foundation ,0.002423703,1.098612289,0.00266271
29,Grants,initiatives,257,1/16/2024,IKEA Foundation ,0.006375273,0.405465108,0.002584951
30,Grants,rietbergen,91,1/16/2024,IKEA Foundation ,0.002257392,1.098612289,0.002479999
31,About,protecting,7,1/16/2024,IKEA Foundation ,0.006097561,0.405465108,0.002472348
32,Grants,women,245,1/16/2024,IKEA Foundation ,0.006077595,0.405465108,0.002464253
33,Learnings,camps,278,1/16/2024,IKEA Foundation ,0.002132245,1.098612289,0.002342511
34,Grants,scope,228,1/16/2024,IKEA Foundation ,0.005655884,0.405465108,0.002293264
35,Grants,reduction,213,1/16/2024,IKEA Foundation ,0.005283786,0.405465108,0.002142391
36,About,neutrality,6,1/16/2024,IKEA Foundation ,0.005226481,0.405465108,0.002119156
37,Learnings,embu,246,1/16/2024,IKEA Foundation ,0.001886807,1.098612289,0.002072869
38,Learnings,kirinyaga,246,1/16/2024,IKEA Foundation ,0.001886807,1.098612289,0.002072869
39,About,ais,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
40,About,amended,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
41,About,honest,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
42,About,inclusiveness,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
43,About,intimidation,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
44,About,nequal,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
45,About,nethical,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
46,About,nfair,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
47,About,ngrantees,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
48,About,nharassment,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
49,About,nsituations,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
50,About,prevails,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
51,About,tolerate,2,1/16/2024,IKEA Foundation ,0.00174216,1.098612289,0.001913959
52,Learnings,forest,226,1/16/2024,IKEA Foundation ,0.001733408,1.098612289,0.001904343
53,Learnings,kobe,222,1/16/2024,IKEA Foundation ,0.001702728,1.098612289,0.001870638
54,Learnings,sbti,586,1/16/2024,IKEA Foundation ,0.004494589,0.405465108,0.001822399
55,Grants,ce,66,1/16/2024,IKEA Foundation ,0.00163723,1.098612289,0.001798681
56,Grants,tenders,65,1/16/2024,IKEA Foundation ,0.001612423,1.098612289,0.001771428
57,About,doubt,5,1/16/2024,IKEA Foundation ,0.004355401,0.405465108,0.001765963
58,About,intellectual,5,1/16/2024,IKEA Foundation ,0.004355401,0.405465108,0.001765963
59,About,nwe,5,1/16/2024,IKEA Foundation ,0.004355401,0.405465108,0.001765963
60,About,property,5,1/16/2024,IKEA Foundation ,0.004355401,0.405465108,0.001765963
61,Grants,survey,172,1/16/2024,IKEA Foundation ,0.00426672,0.405465108,0.001730006
62,Learnings,nyeri,189,1/16/2024,IKEA Foundation ,0.00144962,1.098612289,0.00159257
63,Grants,sector,153,1/16/2024,IKEA Foundation ,0.003795396,0.405465108,0.001538901
64,Learnings,staff,492,1/16/2024,IKEA Foundation ,0.003773614,0.405465108,0.001530069
65,Learnings,evaluation,469,1/16/2024,IKEA Foundation ,0.003597205,0.405465108,0.001458541
66,Grants,impact,145,1/16/2024,IKEA Foundation ,0.003596944,0.405465108,0.001458435
67,Grants,year,145,1/16/2024,IKEA Foundation ,0.003596944,0.405465108,0.001458435
68,Grants,management,142,1/16/2024,IKEA Foundation ,0.003522524,0.405465108,0.001428261
69,Learnings,wageningen,169,1/16/2024,IKEA Foundation ,0.001296221,1.098612289,0.001424044
70,Grants,dalberg,52,1/16/2024,IKEA Foundation ,0.001289938,1.098612289,0.001417142
71,About,conflict,4,1/16/2024,IKEA Foundation ,0.003484321,0.405465108,0.00141277
72,About,corruption,4,1/16/2024,IKEA Foundation ,0.003484321,0.405465108,0.00141277
73,About,gifts,4,1/16/2024,IKEA Foundation ,0.003484321,0.405465108,0.00141277
74,About,proper,4,1/16/2024,IKEA Foundation ,0.003484321,0.405465108,0.00141277
75,Grants,targets,139,1/16/2024,IKEA Foundation ,0.003448105,0.405465108,0.001398086
76,Learnings,development,448,1/16/2024,IKEA Foundation ,0.003436136,0.405465108,0.001393233
77,Learnings,land,435,1/16/2024,IKEA Foundation ,0.003336427,0.405465108,0.001352805
78,Grants,strategic,134,1/16/2024,IKEA Foundation ,0.003324072,0.405465108,0.001347795
79,Learnings,programme,432,1/16/2024,IKEA Foundation ,0.003313417,0.405465108,0.001343475
80,Learnings,hilaweyn,159,1/16/2024,IKEA Foundation ,0.001219522,1.098612289,0.001339781
81,Learnings,bokolmanyo,158,1/16/2024,IKEA Foundation ,0.001211852,1.098612289,0.001331355
82,Grants,measures,132,1/16/2024,IKEA Foundation ,0.003274459,0.405465108,0.001327679
83,Learnings,rapport,157,1/16/2024,IKEA Foundation ,0.001204182,1.098612289,0.001322929
84,Grants,model,131,1/16/2024,IKEA Foundation ,0.003249653,0.405465108,0.001317621
85,Learnings,cohort,155,1/16/2024,IKEA Foundation ,0.001188842,1.098612289,0.001306076
86,Grants,data,127,1/16/2024,IKEA Foundation ,0.003150427,0.405465108,0.001277388
87,Learnings,farmers,407,1/16/2024,IKEA Foundation ,0.003121668,0.405465108,0.001265728
