,cat,word1,word2,n,date,institution
1,Learnings,ikea,foundation,321,1/16/2024,IKEA Foundation 
2,Learnings,cooperative,members,318,1/16/2024,IKEA Foundation 
3,Learnings,dollo,ado,305,1/16/2024,IKEA Foundation 
4,Grants,wmb,coalition,241,1/16/2024,IKEA Foundation 
5,Learnings,staff,member,200,1/16/2024,IKEA Foundation 
6,Learnings,economic,research,169,1/16/2024,IKEA Foundation 
7,Learnings,wageningen,economic,154,1/16/2024,IKEA Foundation 
8,Learnings,research,rapport,153,1/16/2024,IKEA Foundation 
9,Grants,performance,ladder,131,1/16/2024,IKEA Foundation 
10,Learnings,host,community,111,1/16/2024,IKEA Foundation 
11,Learnings,data,collection,109,1/16/2024,IKEA Foundation 
12,Learnings,member,melkadida,99,1/16/2024,IKEA Foundation 
13,Learnings,based,targets,97,1/16/2024,IKEA Foundation 
14,Learnings,refugee,livelihoods,96,1/16/2024,IKEA Foundation 
15,Learnings,mt,kenya,94,1/16/2024,IKEA Foundation 
16,Learnings,climate,change,89,1/16/2024,IKEA Foundation 
17,Learnings,targets,initiative,86,1/16/2024,IKEA Foundation 
18,Learnings,meat,selling,83,1/16/2024,IKEA Foundation 
19,Learnings,nscience,based,81,1/16/2024,IKEA Foundation 
20,Learnings,kirinyaga,county,80,1/16/2024,IKEA Foundation 
21,Learnings,private,sector,80,1/16/2024,IKEA Foundation 
22,Learnings,initiative,review,79,1/16/2024,IKEA Foundation 
23,Learnings,evaluation,framework,75,1/16/2024,IKEA Foundation 
24,Learnings,livelihoods,dib,73,1/16/2024,IKEA Foundation 
25,Learnings,agriculture,cooperative,70,1/16/2024,IKEA Foundation 
26,Learnings,comparison,group,70,1/16/2024,IKEA Foundation 
27,Learnings,dib,evaluation,69,1/16/2024,IKEA Foundation 
28,Learnings,framework,report,69,1/16/2024,IKEA Foundation 
29,Learnings,kirinyaga,embu,69,1/16/2024,IKEA Foundation 
30,Learnings,impact,evaluation,68,1/16/2024,IKEA Foundation 
