,cat,word1,word2,n,date,institution
102,Grants,political,support,14,1/18/2024,MacArthur Foundation
103,Grants,power,sector,14,1/18/2024,MacArthur Foundation
104,Grants,utility,scale,14,1/18/2024,MacArthur Foundation
105,Grants,advancing,climate,13,1/18/2024,MacArthur Foundation
106,Grants,deepened,participation,13,1/18/2024,MacArthur Foundation
107,Grants,defining,challenge,13,1/18/2024,MacArthur Foundation
108,Grants,evaluation,framework,13,1/18/2024,MacArthur Foundation
109,Grants,fossil,fuels,13,1/18/2024,MacArthur Foundation
110,Grants,gross,domestic,13,1/18/2024,MacArthur Foundation
111,Grants,nrenewable,energy,13,1/18/2024,MacArthur Foundation
112,Grants,portfolio,standards,13,1/18/2024,MacArthur Foundation
113,Grants,affected,progress,12,1/18/2024,MacArthur Foundation
114,Grants,carbon,emissions,12,1/18/2024,MacArthur Foundation
115,Grants,climate,leadership,12,1/18/2024,MacArthur Foundation
116,Grants,distribution,companies,12,1/18/2024,MacArthur Foundation
117,Grants,domestic,product,12,1/18/2024,MacArthur Foundation
118,Grants,energy,policies,12,1/18/2024,MacArthur Foundation
119,Grants,fired,power,12,1/18/2024,MacArthur Foundation
120,Grants,fossil,fuel,12,1/18/2024,MacArthur Foundation
121,Grants,multiple,approaches,12,1/18/2024,MacArthur Foundation
122,Grants,national,ets,12,1/18/2024,MacArthur Foundation
123,Grants,rise,stays,12,1/18/2024,MacArthur Foundation
124,Grants,subnational,level,12,1/18/2024,MacArthur Foundation
125,Grants,term,impacts,12,1/18/2024,MacArthur Foundation
126,Grants,baseline,data,11,1/18/2024,MacArthur Foundation
127,Grants,build,political,11,1/18/2024,MacArthur Foundation
128,Grants,electric,mobility,11,1/18/2024,MacArthur Foundation
129,Grants,electric,vehicles,11,1/18/2024,MacArthur Foundation
130,Grants,emissions,reduction,11,1/18/2024,MacArthur Foundation
131,Grants,greenhouse,gases,11,1/18/2024,MacArthur Foundation
132,Grants,inr,crore,11,1/18/2024,MacArthur Foundation
133,Grants,kigali,amendment,11,1/18/2024,MacArthur Foundation
134,Grants,organizations,capacity,11,1/18/2024,MacArthur Foundation
135,Grants,reduce,greenhouse,11,1/18/2024,MacArthur Foundation
136,Grants,scale,solar,11,1/18/2024,MacArthur Foundation
137,Grants,solar,energy,11,1/18/2024,MacArthur Foundation
138,Grants,stakeholders,efforts,11,1/18/2024,MacArthur Foundation
139,Grants,thousand,megawatt,11,1/18/2024,MacArthur Foundation
140,Grants,trading,scheme,11,1/18/2024,MacArthur Foundation
141,Grants,trump,administration,11,1/18/2024,MacArthur Foundation
142,Grants,yale,program,11,1/18/2024,MacArthur Foundation
143,Grants,action,plan,10,1/18/2024,MacArthur Foundation
144,Grants,annual,average,10,1/18/2024,MacArthur Foundation
145,Grants,climate,nsolutions,10,1/18/2024,MacArthur Foundation
146,Grants,climate,related,10,1/18/2024,MacArthur Foundation
147,Grants,development,goals,10,1/18/2024,MacArthur Foundation
148,Grants,economic,growth,10,1/18/2024,MacArthur Foundation
149,Grants,emissions,reductions,10,1/18/2024,MacArthur Foundation
150,Grants,energy,generation,10,1/18/2024,MacArthur Foundation
151,Grants,energy,revolution,10,1/18/2024,MacArthur Foundation
152,Grants,expanding,funding,10,1/18/2024,MacArthur Foundation
153,Grants,foundation,supports,10,1/18/2024,MacArthur Foundation
154,Grants,gas,pollutants,10,1/18/2024,MacArthur Foundation
155,Grants,global,leadership,10,1/18/2024,MacArthur Foundation
156,Grants,grantees,worked,10,1/18/2024,MacArthur Foundation
157,Grants,india,grantees,10,1/18/2024,MacArthur Foundation
158,Grants,low,proportion,10,1/18/2024,MacArthur Foundation
159,Grants,montreal,protocol,10,1/18/2024,MacArthur Foundation
160,Grants,net,generation,10,1/18/2024,MacArthur Foundation
161,Grants,real,time,10,1/18/2024,MacArthur Foundation
162,Grants,related,emissions,10,1/18/2024,MacArthur Foundation
163,Grants,short,lived,10,1/18/2024,MacArthur Foundation
164,Grants,solutions,stakeholders,10,1/18/2024,MacArthur Foundation
165,Grants,address,climate,9,1/18/2024,MacArthur Foundation
166,Grants,altering,political,9,1/18/2024,MacArthur Foundation
167,Grants,climate,advocates,9,1/18/2024,MacArthur Foundation
168,Grants,data,collected,9,1/18/2024,MacArthur Foundation
169,Grants,data,sources,9,1/18/2024,MacArthur Foundation
170,Grants,expand,markets,9,1/18/2024,MacArthur Foundation
