,cat,word,n,date,institution,tf,idf,tf_idf
69,Learnings,programme,432,1/18/2024,IKEA Foundation ,0.003410652,0.405465108,0.0013829
70,Learnings,hilaweyn,159,1/18/2024,IKEA Foundation ,0.001255309,1.098612289,0.001379098
71,Grants,model,131,1/18/2024,IKEA Foundation ,0.003389831,0.405465108,0.001374458
72,Learnings,bokolmanyo,158,1/18/2024,IKEA Foundation ,0.001247414,1.098612289,0.001370425
73,Learnings,rapport,157,1/18/2024,IKEA Foundation ,0.001239519,1.098612289,0.001361751
74,Learnings,cohort,155,1/18/2024,IKEA Foundation ,0.001223729,1.098612289,0.001344404
75,Grants,data,127,1/18/2024,IKEA Foundation ,0.003286324,0.405465108,0.00133249
76,Learnings,farmers,407,1/18/2024,IKEA Foundation ,0.003213276,0.405465108,0.001302871
77,Grants,effect,121,1/18/2024,IKEA Foundation ,0.003131065,0.405465108,0.001269538
78,Grants,interviews,120,1/18/2024,IKEA Foundation ,0.003105188,0.405465108,0.001259045
79,Learnings,households,143,1/18/2024,IKEA Foundation ,0.001128989,1.098612289,0.001240321
80,Learnings,support,381,1/18/2024,IKEA Foundation ,0.003008006,0.405465108,0.001219641
81,Learnings,companies,372,1/18/2024,IKEA Foundation ,0.00293695,0.405465108,0.001190831
82,Learnings,conservation,136,1/18/2024,IKEA Foundation ,0.001073724,1.098612289,0.001179606
83,Grants,program,112,1/18/2024,IKEA Foundation ,0.002898176,0.405465108,0.001175109
84,Grants,analysis,110,1/18/2024,IKEA Foundation ,0.002846423,0.405465108,0.001154125
85,Learnings,data,359,1/18/2024,IKEA Foundation ,0.002834315,0.405465108,0.001149216
86,Grants,research,109,1/18/2024,IKEA Foundation ,0.002820546,0.405465108,0.001143633
87,Learnings,impact,355,1/18/2024,IKEA Foundation ,0.002802735,0.405465108,0.001136411
88,Learnings,soil,130,1/18/2024,IKEA Foundation ,0.001026354,1.098612289,0.001127565
89,Grants,collaboration,107,1/18/2024,IKEA Foundation ,0.002768793,0.405465108,0.001122649
90,Learnings,milk,129,1/18/2024,IKEA Foundation ,0.001018459,1.098612289,0.001118891
91,Grants,chain,106,1/18/2024,IKEA Foundation ,0.002742916,0.405465108,0.001112157
92,Grants,corporate,106,1/18/2024,IKEA Foundation ,0.002742916,0.405465108,0.001112157
93,Learnings,water,345,1/18/2024,IKEA Foundation ,0.002723785,0.405465108,0.0011044
94,Grants,carbon,104,1/18/2024,IKEA Foundation ,0.002691163,0.405465108,0.001091173
95,Learnings,region,125,1/18/2024,IKEA Foundation ,0.000986878,1.098612289,0.001084197
96,Grants,action,103,1/18/2024,IKEA Foundation ,0.002665287,0.405465108,0.001080681
97,Grants,project,103,1/18/2024,IKEA Foundation ,0.002665287,0.405465108,0.001080681
98,Learnings,agriculture,333,1/18/2024,IKEA Foundation ,0.002629044,0.405465108,0.001065986
99,About,abuse,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
100,About,accept,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
101,About,alcohol,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
102,About,children,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
103,About,forced,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
104,About,nbe,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
105,About,recognise,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
106,About,religious,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
107,About,rights,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
108,About,tolerance,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
109,About,tolerated,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
110,About,values,3,1/18/2024,IKEA Foundation ,0.00262697,0.405465108,0.001065145
111,Grants,emission,101,1/18/2024,IKEA Foundation ,0.002613533,0.405465108,0.001059697
112,Learnings,research,331,1/18/2024,IKEA Foundation ,0.002613254,0.405465108,0.001059583
113,Learnings,project,330,1/18/2024,IKEA Foundation ,0.002605359,0.405465108,0.001056382
114,Learnings,irrigation,121,1/18/2024,IKEA Foundation ,0.000955298,1.098612289,0.001049503
115,Grants,studies,100,1/18/2024,IKEA Foundation ,0.002587657,0.405465108,0.001049205
116,Learnings,sector,326,1/18/2024,IKEA Foundation ,0.002573779,0.405465108,0.001043578
117,Learnings,landscape,323,1/18/2024,IKEA Foundation ,0.002550094,0.405465108,0.001033974
118,Grants,energy,98,1/18/2024,IKEA Foundation ,0.002535904,0.405465108,0.00102822
119,Grants,karnataka,36,1/18/2024,IKEA Foundation ,0.000931556,1.098612289,0.001023419
120,Learnings,coffee,319,1/18/2024,IKEA Foundation ,0.002518514,0.405465108,0.001021169
121,Grants,market,97,1/18/2024,IKEA Foundation ,0.002510027,0.405465108,0.001017728
122,Grants,secretariat,97,1/18/2024,IKEA Foundation ,0.002510027,0.405465108,0.001017728
123,Learnings,economic,315,1/18/2024,IKEA Foundation ,0.002486934,0.405465108,0.001008365
124,Grants,beneficiary,96,1/18/2024,IKEA Foundation ,0.002484151,0.405465108,0.001007236
125,Learnings,firewood,116,1/18/2024,IKEA Foundation ,0.000915823,1.098612289,0.001006135
126,Grants,supply,95,1/18/2024,IKEA Foundation ,0.002458274,0.405465108,0.000996744
127,Learnings,group,311,1/18/2024,IKEA Foundation ,0.002455354,0.405465108,0.00099556
128,Grants,low,93,1/18/2024,IKEA Foundation ,0.002406521,0.405465108,0.00097576
129,About,acaring,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
130,About,acost,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
131,About,adifferent,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
132,About,affiliations,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
